Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2019136231041,413715,432076,-1.793330,53.784844,13,3,1,2,03/02/2019,1,13:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,2,E01010659,
2019136241610,414281,433680,-1.784667,53.799245,13,3,3,1,04/02/2019,2,19:08,200,E08000032,4,6145,6,30,3,2,3,6177,0,4,4,1,1,0,0,1,1,E01010813,
2019136251200,417472,432042,-1.736313,53.784427,13,3,1,1,05/02/2019,3,16:28,200,E08000032,6,0,6,20,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01010734,
2019136260259,401343,433123,-1.981096,53.794430,13,3,1,1,06/02/2019,4,07:15,200,E08000032,3,6033,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01010857,
2019136260939,408489,434673,-1.872575,53.808296,13,3,2,1,06/02/2019,4,14:00,200,E08000032,6,0,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,E01010590,
2019136261374,406040,441185,-1.909639,53.866858,13,2,1,2,06/02/2019,4,17:20,200,E08000032,3,629,6,30,0,-1,-1,0,0,4,4,1,2,0,0,1,1,E01010710,
2019136261720,410387,442369,-1.843496,53.877432,13,3,1,1,06/02/2019,4,19:48,200,E08000032,6,0,6,40,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01010706,
2019136270933,415057,438047,-1.772673,53.838474,13,3,2,1,06/02/2019,4,17:50,200,E08000032,3,6038,6,30,3,4,6,0,0,0,7,1,1,0,0,1,2,E01010571,
2019136271098,417334,435681,-1.738205,53.817138,13,3,1,1,07/02/2019,5,15:10,200,E08000032,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010598,
2019136290576,413454,433908,-1.797212,53.801316,13,3,2,1,09/02/2019,7,09:14,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,5,2,0,0,1,1,E01010630,
2019136291070,411690,447851,-1.823469,53.926676,13,2,1,1,09/02/2019,7,14:25,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010695,
2019136291529,418001,429962,-1.728406,53.765714,13,3,3,1,08/02/2019,6,17:30,200,E08000032,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01010817,
20191362B1327,412321,435406,-1.814355,53.814808,13,3,1,1,11/02/2019,2,17:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010674,
20191362C0379,418422,431500,-1.721928,53.779523,13,2,2,1,12/02/2019,3,09:08,200,E08000032,3,6177,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010609,
20191362C0478,419171,430218,-1.710641,53.767974,13,3,1,1,12/02/2019,3,10:15,200,E08000032,6,0,6,30,3,4,3,650,0,5,1,1,1,0,0,1,1,E01010814,
20191362D0330,416663,432781,-1.748552,53.791095,13,3,1,1,13/02/2019,4,07:50,200,E08000032,6,0,6,30,6,2,6,0,0,5,1,1,1,0,0,1,2,E01033690,
20191362D1902,414481,434525,-1.781591,53.806835,13,3,2,1,13/02/2019,4,18:10,200,E08000032,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,2,E01010808,
20191362E1360,413228,435409,-1.800580,53.814813,13,3,2,1,14/02/2019,5,16:51,200,E08000032,4,6144,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01010671,
20191362E2156,417233,432363,-1.739923,53.787320,13,2,3,1,14/02/2019,5,23:29,200,E08000032,3,650,1,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01010613,
20191362F1133,406220,435565,-1.907013,53.816344,13,2,2,1,15/02/2019,6,15:55,200,E08000032,3,629,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01010590,
20191362F1637,416768,430884,-1.747060,53.774042,13,3,2,1,15/02/2019,6,19:15,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010616,
20191362G0545,418135,437579,-1.725928,53.834170,13,3,2,1,16/02/2019,7,09:50,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01010688,
20191362G1224,413607,442283,-1.794522,53.876586,13,3,2,2,16/02/2019,7,15:35,200,E08000032,6,0,6,40,3,4,6,0,0,0,1,1,1,0,0,2,1,E01010764,
20191362G2003,406129,441461,-1.908280,53.869338,13,3,1,1,16/02/2019,7,21:23,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010702,
20191362G2083,413788,435289,-1.792080,53.813720,13,3,1,1,09/02/2019,7,21:55,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010675,
20191362G2237,416330,432543,-1.753619,53.788967,13,3,2,2,16/02/2019,7,23:10,200,E08000032,3,641,3,30,6,2,3,647,0,4,4,1,1,0,0,1,1,E01010730,
20191362H0216,416320,432586,-1.753768,53.789353,13,2,2,6,17/02/2019,1,02:26,200,E08000032,3,641,3,30,7,2,6,0,2,4,4,1,1,0,0,1,1,E01010730,
20191362H0442,417735,430610,-1.732404,53.771548,13,2,2,1,17/02/2019,1,08:20,200,E08000032,3,6177,1,30,1,2,6,0,2,5,1,1,1,0,0,1,1,E01010615,
20191362H1335,418207,433569,-1.725069,53.798126,13,3,2,1,17/02/2019,1,17:40,200,E08000032,4,6381,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010622,
20191362I0808,413722,429024,-1.793359,53.757413,13,2,2,1,18/02/2019,2,13:25,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010874,
20191362I1757,416079,434910,-1.757306,53.810249,13,3,2,6,18/02/2019,2,20:15,200,E08000032,3,6037,6,30,6,1,6,0,0,5,4,1,2,0,0,1,1,E01010824,
20191362I1860,418649,432449,-1.718426,53.788045,13,3,2,1,18/02/2019,2,20:25,200,E08000032,3,6177,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010611,
20191362J0850,415840,434703,-1.760946,53.808395,13,3,2,1,19/02/2019,3,20:09,200,E08000032,6,0,6,30,6,2,6,0,0,0,4,1,1,0,0,1,2,E01010824,
20191362J1338,417448,433050,-1.736621,53.793488,13,3,2,1,19/02/2019,3,17:57,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010606,
20191362J1385,413239,434058,-1.800470,53.802670,13,3,2,1,19/02/2019,3,18:29,200,E08000032,6,0,3,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010810,
20191362J1499,415852,432596,-1.760871,53.789458,13,3,1,1,19/02/2019,3,19:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010731,
20191362J1560,414644,437230,-1.778988,53.831143,13,3,2,1,19/02/2019,3,19:46,200,E08000032,6,0,6,20,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010787,
20191362K0408,413872,429196,-1.791076,53.758955,13,3,2,1,20/02/2019,4,10:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010851,
